ExtendedEndDate,bidStatus,currencySymbol,currentBid,estimateHigh,estimateLow,imageUrl,isMixedLot,location,lotId,lotItems,lotNo,lotSequence,lotStatus,lotSuffix,originalLotID,parcelHeader,reservePrice,soldPrice,userIsWatching,userMaxBid,winningBidderPaddle,winningBidderUserName
,OPEN,USD,80,120,90,,False,1,289221,"[{'wineName': 'Diamond Creek Cabernet Sauvignon', 'producerName': 'Diamond Creek', 'producerId': 0, 'appellation': '', 'designation': 'Red Rock Terrace', 'region': 'California Cabernets & Meritage', 'vintage': '1989', 'condition': 'bn lbsl', 'bottleQuantity': 1, 'bottleSize': 'bottle', 'wineScore': None, 'parkerNoteEnglish': None, 'parkerNoteLocal': None, 'producerIsUserFavorite': True}]",11,11,NS,,624034,Parcel,80,0,False,0,56120,thundermountainconsulting
,OPEN,USD,95,150,110,,False,1,289222,"[{'wineName': 'Dunn Vineyards Cabernet Sauvignon', 'producerName': None, 'producerId': 0, 'appellation': '', 'designation': 'Howell Mountain', 'region': 'California Cabernets & Meritage', 'vintage': '1997', 'condition': 'crc', 'bottleQuantity': 1, 'bottleSize': 'bottle', 'wineScore': '(95pts)', 'parkerNoteEnglish': '""Aromas and flavors of blackberry/cassis jam, minerals, and subtle oak are found in this extravagantly rich, gargantuan Cabernet Sauvignon that should age effortlessly for half a century.""(95pts)', 'parkerNoteLocal': None, 'producerIsUserFavorite': True}]",12,12,NS,,624035,Parcel,90,0,False,0,16598,harper
,OPEN,USD,600,900,700,,False,1,289223,"[{'wineName': 'Joseph Phelps Winery', 'producerName': 'Joseph Phelps', 'producerId': 0, 'appellation': '', 'designation': 'Insignia', 'region': 'California Cabernets & Meritage', 'vintage': '1995', 'condition': 'cuc wc', 'bottleQuantity': 1, 'bottleSize': 'double magnum', 'wineScore': '(98pts)', 'parkerNoteEnglish': '""A wine of great intensity and richness, it displays classic notes of licorice, barbecue smoke, creme de cassis, cedarwood and forest floor. Full-bodied with sensational purity, a multidimensional mouthfeel and a long, voluptuous finish with no hard edges, it has only reached mid-adolescence, and has at least two decades of life ahead of it.""(98pts)', 'parkerNoteLocal': None, 'producerIsUserFavorite': True}]",13,13,NS,,624036,Parcel,600,0,False,0,9083,jtmnyc123
,OPEN,USD,160,220,160,,False,1,289224,"[{'wineName': 'Matriarch Red', 'producerName': 'Bond', 'producerId': 0, 'appellation': '', 'designation': None, 'region': 'California Cabernets & Meritage', 'vintage': '2004', 'condition': '1vltl 2vlscl', 'bottleQuantity': 2, 'bottleSize': 'bottle', 'wineScore': '(94pts)', 'parkerNoteEnglish': '(94pts)', 'parkerNoteLocal': None, 'producerIsUserFavorite': True}]",14,14,NS,,624037,Parcel,140,0,False,0,16598,harper
,OPEN,USD,220,350,260,,False,1,289225,"[{'wineName': 'Sine Qua Non Grenache', 'producerName': 'Sine Qua Non', 'producerId': 0, 'appellation': '', 'designation': 'Atlantis Fe 203 2A', 'region': 'California Red', 'vintage': '2005', 'condition': '', 'bottleQuantity': 1, 'bottleSize': 'bottle', 'wineScore': '(100pts)', 'parkerNoteEnglish': '""An extraordinarily flowery nose interwoven with scents of blueberries, blackberries, incense, and graphite soars from the glass. Although not the biggest or most concentrated Syrah Krankl has made, it is one of the most nuanced, elegant, and complex. It remains full-bodied, but builds incrementally on the palate, and comes across as elegant and delicate, especially when compared to many California Syrahs. Nevertheless, the intensity is mind-boggling, and the finish lasts for nearly a minute.""(100pts)', 'parkerNoteLocal': '...?????????????????????????????????????????????????????,??????????????????,???????????????????????10?15??????(96-98?)', 'producerIsUserFavorite': True}]",15,15,NS,,624038,Parcel,220,0,False,0,48149,******
,OPEN,USD,80,120,90,,False,1,289226,"[{'wineName': 'Chablis', 'producerName': 'Besson', 'producerId': 0, 'appellation': '', 'designation': 'Les Clos', 'region': 'White Burgundy', 'vintage': '2012', 'condition': '', 'bottleQuantity': 3, 'bottleSize': 'bottle', 'wineScore': None, 'parkerNoteEnglish': None, 'parkerNoteLocal': None, 'producerIsUserFavorite': True}]",16,16,NS,,624039,Parcel,80,0,False,0,20591,***l
,OPEN,USD,0,280,200,,False,1,289227,"[{'wineName': 'Chablis', 'producerName': 'Besson', 'producerId': 0, 'appellation': '', 'designation': 'Les Clos', 'region': 'White Burgundy', 'vintage': '2013', 'condition': '', 'bottleQuantity': 5, 'bottleSize': 'bottle', 'wineScore': None, 'parkerNoteEnglish': None, 'parkerNoteLocal': None, 'producerIsUserFavorite': True}]",17,17,NS,,624040,Parcel,180,0,False,0,0,***
,OPEN,USD,55,80,60,,True,1,289228,"[{'wineName': 'Chablis', 'producerName': 'Domaine Dublere', 'producerId': 0, 'appellation': '', 'designation': 'Les Preuses', 'region': 'White Burgundy', 'vintage': '2011', 'condition': '', 'bottleQuantity': 1, 'bottleSize': 'bottle', 'wineScore': '(95pts)', 'parkerNoteEnglish': '""Tasted just two weeks after bottling, Pethel\'s 2011 Chablis Preuses was harvested already on September 12, but was extremely slow in fermentation, leading to a reluctant decision (for him) to encourage completion by warming the tank into which it had been pressed. (Ironically, as has long been done in Burgundy with admirable results   even back when it was technically illegal   the must had been lightly chaptalized in the course of fermentation with the aim of extending it. In the event, the finished wine is still barely 13% alcohol.) Scents of lemon, lime, and more exotic citrus mingle with musk, white truffle, lightly toasted hazelnut and intimations of ocean breeze in an arrestingly diverse and intriguing aromatic display. The maritime and citrus allusions are realized in spades on this wine\'s dense, lush palate, with pungent citrus oils and piquancy of pips spiking an amalgam of oyster liqueur and lemon juice, leading to a finish of nearly eye-watering and certainly salivary gland-milking intensity   brine, chalk, iodine, and myriad ineffable mineral elements leaving a near-indelible impression. This youthfully brash yet rich Preuses is almost sure to reveal more of the site\'s alluring exoticism and continue to dazzle through at least 2025.""(95pts)', 'parkerNoteLocal': None, 'producerIsUserFavorite': True}, {'wineName': 'Meursault', 'producerName': 'Domaine Dublere', 'producerId': 0, 'appellation': '', 'designation': 'Les Crotots', 'region': 'White Burgundy', 'vintage': '2009', 'condition': '', 'bottleQuantity': 1, 'bottleSize': 'bottle', 'wineScore': None, 'parkerNoteEnglish': None, 'parkerNoteLocal': None, 'producerIsUserFavorite': True}]",18,18,NS,,624041,Parcel,50,0,False,0,5723,yankeetrader
,OPEN,USD,65,80,60,,False,1,289229,"[{'wineName': 'Chassagne Montrachet', 'producerName': 'V. Girardin', 'producerId': 0, 'appellation': '', 'designation': 'Clos de la Truffiere', 'region': 'White Burgundy', 'vintage': '2004', 'condition': '', 'bottleQuantity': 2, 'bottleSize': 'bottle', 'wineScore': None, 'parkerNoteEnglish': None, 'parkerNoteLocal': None, 'producerIsUserFavorite': True}]",19,19,NS,,624042,Parcel,50,0,False,0,56091,ray_718
,OPEN,USD,0,240,180,,False,1,289230,"[{'wineName': 'Riesling Auslese', 'producerName': 'J.J. Prum', 'producerId': 0, 'appellation': '', 'designation': 'Wehlener Sonnenuhr', 'region': 'Germany', 'vintage': '2002', 'condition': '', 'bottleQuantity': 3, 'bottleSize': 'bottle', 'wineScore': '(94pts WS)', 'parkerNoteEnglish': '""Fragrant and silky, this builds in intensity on the palate, unfolding its peach, lime and slate flavors elegantly and persistently to what seems like a never-ending finish. It\'s lightweight and beautifully balanced--what the Mosel does best...""(94pts WS)', 'parkerNoteLocal': None, 'producerIsUserFavorite': True}]",20,20,NS,,624043,Parcel,160,0,False,0,0,***
,OPEN,USD,0,280,200,,False,1,289231,"[{'wineName': 'Taylor Fladgate Vintage Port', 'producerName': 'taylor fladgate', 'producerId': 0, 'appellation': '', 'designation': None, 'region': 'Fortified', 'vintage': '1994', 'condition': '2bsl', 'bottleQuantity': 2, 'bottleSize': 'bottle', 'wineScore': '(97pts)', 'parkerNoteEnglish': '""This classically made, opaque purple-colored wine is crammed with black fruits (blueberries and cassis). It reveals high tannin and a reserved style, but it is enormously constituted with massive body, a formidable mid-palate, and exceptional length.""(97pts)', 'parkerNoteLocal': None, 'producerIsUserFavorite': True}]",21,21,NS,,624044,Parcel,180,0,False,0,0,***
,OPEN,USD,2600,4000,3000,,False,1,289232,"[{'wineName': 'La Tache', 'producerName': 'Domaine de la Romanee Conti', 'producerId': 0, 'appellation': '', 'designation': None, 'region': 'Red Burgundy', 'vintage': '1995', 'condition': 'nl stl wol', 'bottleQuantity': 1, 'bottleSize': 'bottle', 'wineScore': '(95pts)', 'parkerNoteEnglish': '""It is intensely profound, and super-ripe yet harmonious. Its extraordinarily long finish (it tails off with a sweet kirsch kiss) flabbergasted me.""(95pts)', 'parkerNoteLocal': None, 'producerIsUserFavorite': True}]",22,22,NS,,624045,Parcel,2600,0,False,0,66532,Soulinair
,OPEN,USD,0,3200,2400,,False,1,289233,"[{'wineName': 'Chateau Lafite Rothschild', 'producerName': None, 'producerId': 0, 'appellation': 'Pauillac', 'designation': None, 'region': 'Red Bordeaux', 'vintage': '1982', 'condition': 'scc spc stc vhs', 'bottleQuantity': 1, 'bottleSize': 'bottle', 'wineScore': '(100pts)', 'parkerNoteEnglish': '""The 1982 Lafite possesses a dark, dense ruby/purple color with only a subtle lightening at the rim. Spectacular aromatics offer jammy cherry and black fruits intertwined with lead pencil, mineral, and smoky wood scents. Powerful for a Lafite, this wine unfolds to reveal extraordinary richness, purity, and overall symmetry in addition to stunning flavor depth and persistence. The finish lasts for nearly a minute. The modern day equivalent of Lafite-Rothschild\'s immortal 1959 An amazing achievement!...""(100pts)', 'parkerNoteLocal': '1982 Lafite?????????/??, ?????????????? ??????? ??????????,????,??????? ??Lafite???????,?????????????????,??????????????????? ???????????????? ????Lafite????????1959? ??????(100?)', 'producerIsUserFavorite': True}]",23,23,NS,,624046,Parcel,2000,0,False,0,0,***
,OPEN,USD,0,3200,2400,,False,1,289234,"[{'wineName': 'Chateau Lafite Rothschild', 'producerName': None, 'producerId': 0, 'appellation': 'Pauillac', 'designation': None, 'region': 'Red Bordeaux', 'vintage': '1982', 'condition': 'htms nc nl ssos', 'bottleQuantity': 1, 'bottleSize': 'bottle', 'wineScore': '(100pts)', 'parkerNoteEnglish': '""The 1982 Lafite possesses a dark, dense ruby/purple color with only a subtle lightening at the rim. Spectacular aromatics offer jammy cherry and black fruits intertwined with lead pencil, mineral, and smoky wood scents. Powerful for a Lafite, this wine unfolds to reveal extraordinary richness, purity, and overall symmetry in addition to stunning flavor depth and persistence. The finish lasts for nearly a minute. The modern day equivalent of Lafite-Rothschild\'s immortal 1959 An amazing achievement!...""(100pts)', 'parkerNoteLocal': '1982 Lafite?????????/??, ?????????????? ??????? ??????????,????,??????? ??Lafite???????,?????????????????,??????????????????? ???????????????? ????Lafite????????1959? ??????(100?)', 'producerIsUserFavorite': True}]",24,24,NS,,624047,Parcel,2000,0,False,0,0,***
,OPEN,USD,0,3200,2400,,False,1,289235,"[{'wineName': 'Chateau Lafite Rothschild', 'producerName': None, 'producerId': 0, 'appellation': 'Pauillac', 'designation': None, 'region': 'Red Bordeaux', 'vintage': '1982', 'condition': 'htms nc nl ssos', 'bottleQuantity': 1, 'bottleSize': 'bottle', 'wineScore': '(100pts)', 'parkerNoteEnglish': '""The 1982 Lafite possesses a dark, dense ruby/purple color with only a subtle lightening at the rim. Spectacular aromatics offer jammy cherry and black fruits intertwined with lead pencil, mineral, and smoky wood scents. Powerful for a Lafite, this wine unfolds to reveal extraordinary richness, purity, and overall symmetry in addition to stunning flavor depth and persistence. The finish lasts for nearly a minute. The modern day equivalent of Lafite-Rothschild\'s immortal 1959 An amazing achievement!...""(100pts)', 'parkerNoteLocal': '1982 Lafite?????????/??, ?????????????? ??????? ??????????,????,??????? ??Lafite???????,?????????????????,??????????????????? ???????????????? ????Lafite????????1959? ??????(100?)', 'producerIsUserFavorite': True}]",25,25,NS,,624048,Parcel,2000,0,False,0,0,***
,OPEN,USD,0,2800,2000,,False,1,289236,"[{'wineName': 'Chateau Pichon Lalande', 'producerName': None, 'producerId': 0, 'appellation': 'Pauillac', 'designation': None, 'region': 'Red Bordeaux', 'vintage': '1995', 'condition': '', 'bottleQuantity': 12, 'bottleSize': 'bottle', 'wineScore': '(96pts)', 'parkerNoteEnglish': '""It is an exquisite example of Pichon-Lalande with the Merlot component giving the wine a coffee/chocolatey/cherry component to go along with the Cabernet Sauvignon\'s and Cabernet Franc\'s complex blackberry/cassis fruit. The wine possesses an opaque black/ruby/purple color, and sexy, flamboyant aromatics of pain grille, black fruits, and cedar. Exquisite on the palate, this full-bodied, layered, multidimensional one of the vintage\'s most extraordinary success stories.""(96pts)', 'parkerNoteLocal': '??PichonLalande?????????,??????????????????????,??????????????????????????????????????????????,???????????,???????????????????????????????????,???????????????(96?)', 'producerIsUserFavorite': True}]",26,26,NS,,624049,Parcel,1800,0,False,0,0,***
,OPEN,USD,0,2800,2000,,False,1,289237,"[{'wineName': 'Glenfiddich Single Malt Scotch Whisky', 'producerName': None, 'producerId': 0, 'appellation': '', 'designation': 'Private Vintage for Queen Mary 2', 'region': 'Scotch', 'vintage': '1976', 'condition': '1x1 700ml owc vhs', 'bottleQuantity': 1, 'bottleSize': '700ml', 'wineScore': None, 'parkerNoteEnglish': None, 'parkerNoteLocal': None, 'producerIsUserFavorite': True}]",27,27,NS,,624050,Parcel,1800,0,False,0,0,***
,OPEN,USD,1500,2400,1800,,False,1,289238,"[{'wineName': 'Chambolle Musigny', 'producerName': 'Mugneret-Gibourg', 'producerId': 0, 'appellation': '', 'designation': 'Les Feusselottes', 'region': 'Red Burgundy', 'vintage': '2016', 'condition': '1x3 magnum ocb', 'bottleQuantity': 3, 'bottleSize': 'magnum', 'wineScore': None, 'parkerNoteEnglish': None, 'parkerNoteLocal': None, 'producerIsUserFavorite': True}]",28,28,NS,,624051,Parcel,1500,0,False,0,6257,RSMLS
,OPEN,USD,0,4000,3000,,False,1,289239,"[{'wineName': 'Clos Vougeot', 'producerName': 'Mugneret-Gibourg', 'producerId': 0, 'appellation': '', 'designation': None, 'region': 'Red Burgundy', 'vintage': '2014', 'condition': '1x3 magnum ocb', 'bottleQuantity': 3, 'bottleSize': 'magnum', 'wineScore': None, 'parkerNoteEnglish': None, 'parkerNoteLocal': None, 'producerIsUserFavorite': True}]",29,29,NS,,624052,Parcel,2800,0,False,0,0,***
,OPEN,USD,2200,3500,2600,,False,1,289240,"[{'wineName': 'Echezeaux', 'producerName': 'Mugneret-Gibourg', 'producerId': 0, 'appellation': '', 'designation': None, 'region': 'Red Burgundy', 'vintage': '2014', 'condition': '1x3 magnum ocb', 'bottleQuantity': 3, 'bottleSize': 'magnum', 'wineScore': '(93-95pts)', 'parkerNoteEnglish': '""...ebullient red cherry, raspberry and vanilla scents -- a bewitching bouquet. The palate is medium-bodied with fine tannin, the fruit effortlessly soaking up the new oak, leaving you with an intense, mineral-rich finish with a saline tang on the aftertaste. A divine Echézeaux.""(93-95pts)', 'parkerNoteLocal': None, 'producerIsUserFavorite': True}]",30,30,NS,,624053,Parcel,2200,0,False,0,31511,kbwkbw
,OPEN,USD,0,1400,1000,,False,1,289241,"[{'wineName': 'Nuits St. Georges', 'producerName': 'Mugneret-Gibourg', 'producerId': 0, 'appellation': '', 'designation': 'Les Chaignots', 'region': 'Red Burgundy', 'vintage': '2014', 'condition': '1x3 magnum ocb', 'bottleQuantity': 3, 'bottleSize': 'magnum', 'wineScore': '(91pts)', 'parkerNoteEnglish': '""Tasted blind at the Burgfest 2014 tasting, the 2014 Nuits St Georges 1er Cru les Chaignots has a vivacious, open and generous bouquet lavished with black cherries, cassis and wild strawberry fruit that is succinctly interwoven into the new oak. The palate is medium-bodied and quite sumptuous on the entry, more primal than its peers with plenty of black cherry and strawberry fruit, a fine thread of acidity and a very pure finish. It still has a long way to go, but this gutsy Nuits-Saint-Georges from Marie-Christine and Marie-Andrée at Mugneret-Gibourg has potential. Tasted September 2017.""(91pts)', 'parkerNoteLocal': None, 'producerIsUserFavorite': True}]",31,31,NS,,624054,Parcel,900,0,False,0,0,***
,OPEN,USD,3000,4200,3200,,False,1,289242,"[{'wineName': 'Ruchottes Chambertin', 'producerName': 'Mugneret-Gibourg', 'producerId': 0, 'appellation': '', 'designation': None, 'region': 'Red Burgundy', 'vintage': '2014', 'condition': '1x3 magnum ocb', 'bottleQuantity': 3, 'bottleSize': 'magnum', 'wineScore': '(98pts)', 'parkerNoteEnglish': '""Tasted blind at the Burgfest 2014 tasting, the 2014 Ruchottes Chambertin Grand Cru from Domaine Mugneret-Gibourg has a powerful, fruit-driven bouquet with layers of cranberry, pomegranate and raspberry preserves. There is a sense of volume here. The palate is medium-bodied with supple tannin, plenty of succulent black fruit laced with tobacco and white pepper, leading to a structured, grippy finish that should see this repay cellaring. It is a serious wine for serious Burgundy lovers, one of the highlights of the vintage that surpasses even my own lofty predictions from barrel. Tasted September 2017.""(98pts)', 'parkerNoteLocal': None, 'producerIsUserFavorite': True}]",32,32,NS,,624055,Parcel,3000,0,False,0,31511,kbwkbw
,OPEN,USD,0,4200,3200,,False,1,289243,"[{'wineName': 'Ruchottes Chambertin', 'producerName': 'Mugneret-Gibourg', 'producerId': 0, 'appellation': '', 'designation': None, 'region': 'Red Burgundy', 'vintage': '2016', 'condition': '1x3 magnum ocb', 'bottleQuantity': 3, 'bottleSize': 'magnum', 'wineScore': None, 'parkerNoteEnglish': None, 'parkerNoteLocal': None, 'producerIsUserFavorite': True}]",33,33,NS,,624056,Parcel,3000,0,False,0,0,***
,OPEN,USD,0,800,600,,False,1,289244,"[{'wineName': 'Vosne Romanee', 'producerName': 'Mugneret-Gibourg', 'producerId': 0, 'appellation': '', 'designation': None, 'region': 'Red Burgundy', 'vintage': '2015', 'condition': '1x2 magnum ocb', 'bottleQuantity': 2, 'bottleSize': 'magnum', 'wineScore': None, 'parkerNoteEnglish': None, 'parkerNoteLocal': None, 'producerIsUserFavorite': True}]",34,34,NS,,624057,Parcel,500,0,False,0,0,***
,OPEN,USD,240,300,220,,False,1,289245,"[{'wineName': 'Meursault', 'producerName': 'Comte Lafon', 'producerId': 0, 'appellation': '', 'designation': 'Clos de la Barre', 'region': 'White Burgundy', 'vintage': '2014', 'condition': '1x1 magnum ocb', 'bottleQuantity': 1, 'bottleSize': 'magnum', 'wineScore': '(90-93pts VM)', 'parkerNoteEnglish': '""High-pitched aromas of lime and mint. More precise and focused than the Désirée, with bright acidity intensifying the musky lime and mineral flavors. Lovely energy here.""(90-93pts VM)', 'parkerNoteLocal': None, 'producerIsUserFavorite': True}]",35,35,NS,,624058,Parcel,200,0,False,0,9982,***
,OPEN,USD,0,3000,2000,,False,1,289246,"[{'wineName': ""Chateau d'Yquem"", 'producerName': None, 'producerId': 0, 'appellation': 'Sauternes', 'designation': None, 'region': 'White Bordeaux', 'vintage': '1947', 'condition': 'beautiful dark mahogany color htms lscl lstl ssos', 'bottleQuantity': 1, 'bottleSize': 'bottle', 'wineScore': '(97pts)', 'parkerNoteEnglish': '""Tasted almost exactly a year after my previous encounter, this 1947 Château d\'Yquem replicated the performance back then. It revealed that burnished amber color, then the glorious, intense and rich bouquet with dried honey, quince and mandarin, that hint of red fruit in the background tracing the birth year back to this hot postwar summer. The palate unctuous, almost heavy in the mouth, the acidity retaining sufficient freshness and poise with a powerful, quite spicy finish that feels extraordinarily long in the mouth. To repeat my earlier sentiment, whilst the 1947 is not up there with the greatest Yquem such as the 1929, 1945 or 2001, it occupies the tier below...and that\'s good enough for me. Tasted October 2016.""(97pts)', 'parkerNoteLocal': None, 'producerIsUserFavorite': True}]",36,36,NS,,624059,Parcel,1600,0,False,0,0,***
,OPEN,USD,0,6000,4000,,False,1,289247,"[{'wineName': 'Chateau Latour', 'producerName': None, 'producerId': 0, 'appellation': 'Pauillac', 'designation': None, 'region': 'Red Bordeaux', 'vintage': '1990', 'condition': '', 'bottleQuantity': 6, 'bottleSize': 'bottle', 'wineScore': '(100pts WS)', 'parkerNoteEnglish': '""This is one of my favorite wines ever. Full-bodied, with layers of silky fruit and masses of currant, mineral and berry character. Amazing. It is a wine with perfect structure, perfect strength. It s 1961 Latour in modern clothes. It is hard not to drink it now.""(100pts WS)', 'parkerNoteLocal': '??????????????????,???????,??????????????????,????,????????1961?Latour?????,???????(100?WS)', 'producerIsUserFavorite': True}]",37,37,NS,,624060,Parcel,3800,0,False,0,0,***
